No,sirket,ise_giris_tarihi
1,ATA Holding,2023-01-30
2,ATA Sancak,2023-01-02
3,ATA Sancak,2023-01-04
4,ATA Sancak,2023-01-04
5,ATA Sancak,2023-01-06
6,ATA Sancak,2023-01-09
7,ATA Sancak,2023-01-09
8,ATA Sancak,2023-01-11
9,ATA Sancak,2023-01-16
10,ATA Sancak,2023-01-16
11,ATP,2023-01-25
12,ATP,2023-01-23
13,ATP,2023-01-18
14,ATP,2023-01-16
15,ATP,2023-01-11
16,ATP,2023-01-09
17,ATP,2023-01-09
18,ATP,2023-01-09
19,ATP,2023-01-03
20,ATP,2023-01-03
21,ATP,2023-01-02
22,ATP,2023-01-16
23,ATP,2023-01-13
24,ENTEGRE HARÇ - İstanbul,2023-01-02
25,ENTEGRE HARÇ - İstanbul,2023-01-16
26,TFI,2023-01-11
27,TFI,2023-01-16
28,TFI,2023-01-23
29,ATA Portföy,2023-01-19
30,ATA Yatırım,2023-01-27
31,ATA Yatırım,2023-01-05
32,FASDAT,2023-01-20
33,FASDAT,2023-01-09
34,FASDAT,2023-01-02
35,FASDAT,2023-01-20
36,FASDAT,2023-01-09
37,FASDAT,2023-01-09
38,FASDAT,2023-01-17
39,FASDAT,2023-01-12
40,FİYUU,2023-01-02
41,FİYUU,2023-01-03
42,FİYUU,2023-01-03
43,FİYUU,2023-01-06
44,FİYUU,2023-01-06
45,FİYUU,2023-01-06
46,FİYUU,2023-01-06
47,FİYUU,2023-01-09
48,FİYUU,2023-01-09
49,FİYUU,2023-01-09
50,FİYUU,2023-01-09
51,FİYUU,2023-01-13
52,FİYUU,2023-01-14
53,FİYUU,2023-01-16
54,FİYUU,2023-01-16
55,FİYUU,2023-01-20
56,FİYUU,2023-01-20
57,FİYUU,2023-01-21
58,FİYUU,2023-01-23
59,FİYUU,2023-01-23
60,FİYUU,2023-01-23
61,FİYUU,2023-01-23
62,ATA Holding,2023-02-20
63,ATA Holding,2023-02-24
64,ATA Sancak,2023-02-10
65,ATA Sancak,2023-02-10
66,ATA Sancak,2023-02-16
67,ATA Sancak,2023-02-16
68,ATA Sancak,2023-02-17
69,ATA Sancak,2023-02-20
70,ATA Sancak,2023-02-20
71,ATA Sancak,2023-02-20
72,ATA Sancak,2023-02-21
73,ATA Sancak,2023-02-23
74,ATA Sancak,2023-02-24
75,ATA Sancak,2023-02-27
76,ENTEGRE HARÇ - Burdur,2023-02-07
77,ENTEGRE HARÇ - Burdur,2023-02-07
78,ENTEGRE HARÇ - Burdur,2023-02-07
79,ENTEGRE HARÇ - İstanbul,2023-02-08
80,ENTEGRE HARÇ - Burdur,2023-02-13
81,ENTEGRE HARÇ - Burdur,2023-02-13
82,ENTEGRE HARÇ - Burdur,2023-02-16
83,ENTEGRE HARÇ - Burdur,2023-02-18
84,ENTEGRE HARÇ - Burdur,2023-02-18
85,ENTEGRE HARÇ - Ankara,2023-02-20
86,TFI,2023-02-01
87,TFI,2023-02-06
88,TFI,2023-02-14
89,ATA Yatırım,2023-02-21
90,ATA Yatırım,2023-02-01
91,ATA Yatırım,2023-02-20
92,FASDAT,2023-02-08
94,FASDAT,2023-02-20
95,FASDAT,2023-02-01
96,FASDAT,2023-02-01
97,FASDAT,2023-02-20
98,FASDAT,2023-02-01
99,ATP,2023-02-27
100,ATP,2023-02-23
101,ATP,2023-02-20
102,ATP,2023-02-20
103,ATP,2023-02-16
104,ATP,2023-02-15
105,ATP,2023-02-07
106,ATP,2023-02-07
107,ATP,2023-02-01
108,FİYUU,2023-02-01
109,FİYUU,2023-02-01
110,FİYUU,2023-02-06
111,FİYUU,2023-02-06
112,FİYUU,2023-02-08
